Titulo;Autores;Ano_Publicacao;Revista;Pais;DOI;Tipo_Investigacao;Dimensao_Temporal;Comparacao_Sujeitos;Amostra_Info;Marcadores_Amostra;Processos_Matematicos;Comparacao_Tarefa;Variaveis_Fisiologicas;Variaveis_Psicologicas;Variaveis_Comportamentais;Posicao_Eletrodos;Equipamento;Tecnologia_Eletrodos;Pre_Processamento;Faixas_Frequencia;Software_Analise;Abordagem_Estatistica;Classificacao_ML;Acesso_Dados;Revisor;Notas;Recomendacao
Evaluation of EEG Signals by Spectral Peak Methods and Statistical Correlation for Mental State Discrimination Induced by Arithmetic Tasks;Daniela Andreea Coman 1,2,* , Silviu Ionita 1,* and Ioan Lita 1;2024;Sensors;Romania;10.3390/s24113316;Quase-experimental;Transversal (Cross-sectional);Misto (Mixed Design);"36 participants, ‘PhysioNet’ through the ‘PhysioBank’ platform, 27 women and 9 men, after 30 recordings excluded ""due to artifacts"", from a original sample of 66 (sixty-six) healthy right-handed students in the field of biology and medicine. Among the participants, 47 were women and 19 were men, and the age ranges were from 18 to 26 years (18.25 ±2.17)";-;mental arithmetic (serial subtractions);Resting state;ECG;-;"1) Individual task performance: number of arithmetic subtraction operations per minute. 2) Group performance: Good and BAD groups, BAD of 10 participants, (mean no. of operations = 6.2 ± 3.37), the task was found difficult; GOOD 26 participants, (mean no. of operations = 21.99 ± 7.46), task managed without difficulty. 3) Quality of task performance: estimated based on the comparative correct results for each participant; if the participants’ reported result was around 20% of the correct value, then it is considered a successful engagement of that participant.";All: anterior frontal, frontal, central, parietal, occipital and temporal;Neurocom monopolar EEG 23-channel system (XAI-MEDICA, Ukraine);19 electrodes (10–20 IS) i) anterior frontal (Fp1, Fp2), ii) frontal (F3, F4, Fz, F7, F8), iii) central (C3, C4, Cz), iv) parietal (P3, P4, Pz), v) occipital (O1, O2), and vi) temporal (T3, T4, T5, T6);"PSD (Power Spectral Density) and/or spectral maxima FFT, quite poorly explained. EEG sample: first 3 minutes of experimental or resting adaption and the first minute (out of 4 minutes) of the mental arithmetic task. In the absence of tasks (R), the acquisition time was 180 s; in the presence of the mental task (T), the recording time was 60 s.";theta (4–8 Hz), alpha (8–13 Hz), and beta (13–30 Hz).;not reported;Pearson correlation;a classification method based on the comparison of domain limits of sprectral peak and the correlation threshold;3, already pre-processed, ‘PhysioNet’ available through the ‘PhysioBank’ platform;Giovanna e Suzana;;
Brain Active Areas Associated with a Mental Arithmetic Task: An eLORETA Study;Serena Dattola , Lilla Bonanno , Augusto Ielo 1,* , Angelica Quercia , Angelo Quartarone and Fabio La Foresta;2023;Bioengineering;Italy;10.3390/bioengineering10121388;Quase-experimental;Transversal (Cross-sectional);Misto (Mixed Design);"36 participants, ‘PhysioNet’ through the ‘PhysioBank’ platform, 27 women and 9 men, after 30 recordings excluded ""due to artifacts"", from a original sample of 66 (sixty-six) healthy right-handed students in the field of biology and medicine. Among the participants, 47 were women and 19 were men, and the age ranges were from 18 to 26 years (18.25 ±2.17)";-;mental arithmetic (serial subtractions);Rest condition;-;-;"1) Individual task performance: number of arithmetic subtraction operations per minute. 2) Group performance: Good and BAD groups, BAD of 10 participants, (mean no. of operations = 6.2 ± 3.37), the task was found difficult; GOOD 26 participants, (mean no. of operations = 21.99 ± 7.46), task managed without difficulty. 3) Quality of task performance: estimated based on the comparative correct results for each participant; if the participants’ reported result was around 20% of the correct value, then it is considered a successful engagement of that participant.";All: anterior frontal, frontal, central, parietal, occipital and temporal;Neurocom monopolar EEG 23-channel system (XAI-MEDICA, Ukraine);19 electrodes (10–20 IS) i) anterior frontal (Fp1, Fp2), ii) frontal (F3, F4, Fz, F7, F8), iii) central (C3, C4, Cz), iv) parietal (P3, P4, Pz), v) occipital (O1, O2), and vi) temporal (T3, T4, T5, T6);power current density by eLORETA;delta (0.5–4 Hz), theta (4–8 Hz), alpha (8–13 Hz), beta (13–30 Hz), gamma (30-45 Hz).;free LORETA-KEY software (v20221229).;Statistical non-Parametric Mapping (SnPM) methodology implemented in the LORETA-KEY software.;None (no machine learning used).;3, already pre-processed, ‘PhysioNet’ available through the ‘PhysioBank’ platform;Giovanna e Suzana;;
EEG Analysis based on Spectral Edge Frequency during Mental Arithmetic Task;Nadiya, U., Simbolon, A. I., Rizal, A., Kusumandari, D. E., & Ziani, S.;2023;IEEE;Indonesia, Morocco and Taiwan;10.1109/ICRAMET60171.2023.10366730;Quase-experimental;Transversal (Cross-sectional);Misto (Mixed Design);"36 participants, ‘PhysioNet’ through the ‘PhysioBank’ platform, 27 women and 9 men, after 30 recordings excluded ""due to artifacts"", from a original sample of 66 (sixty-six) healthy right-handed students in the field of biology and medicine. Among the participants, 47 were women and 19 were men, and the age ranges were from 18 to 26 years (18.25 ±2.17)";-;mental arithmetic (serial subtractions);Rest state;-;-;1) Individual task performance: number of arithmetic subtraction operations per minute. 2) Group performance: Sample divided into 3 groups according to performance: good, average and bad with 12 participants each.;All: anterior frontal, frontal, central, parietal, occipital and temporal;Neurocom monopolar EEG 23-channel system (XAI-MEDICA, Ukraine);19 electrodes (10–20 IS) i) anterior frontal (Fp1, Fp2), ii) frontal (F3, F4, Fz, F7, F8), iii) central (C3, C4, Cz), iv) parietal (P3, P4, Pz), v) occipital (O1, O2), and vi) temporal (T3, T4, T5, T6);"SEF at 50% (SEF50): frequency below which fifty percent of the signal's power is present, derived from PSD; equivalent to the signal's median frequency";delta (0.5–4 Hz), theta (4–8 Hz), alpha (8–13 Hz), beta (13–30 Hz), gamma (30-45 Hz).;"not reported; assumedly custom";"t-tests for rest vs tasks; apparently descriptive only for the remianing comparisons";None (no machine learning used).;3, already pre-processed, ‘PhysioNet’ available through the ‘PhysioBank’ platform;Giovanna e Suzana;;
EEG-based discrimination of different cognitive workload levels from mental arithmetic;Zheng Yang Chin, Xin Zhang, Chuanchu Wang, Kai Keng Ang;2018;IEEE Xplore Conference Proceedings;Singapore;10.1109/EMBC.2018.8512675;Experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);10 healthy subjects performing mental addition with 3 difficulty levels (easy, medium and hard);-;mental arithmetic (mental addition);-;-;-;"Individual performance; subjective ratings; algorithm classification performance";All: anterior frontal, frontal, central, parietal, occipital and temporal;Neuroscan;30 channels F3, F4, Fz, F7, F8, FT7, FC3, FCz, FC4, FT8, T7, C3, Cz, C4, T8, TP7, CP3, CPz, CP4, TP8, P7, P3, Pz, P4, P8, O1, Oz, O2, PO1, PO2;"band power and Common Spatial Pattern features; subsequently, features selected using Fisher Ratio to train a Linear Discriminant Classifier. M1: spatial filtering and feature extraction using CSP (common spatial pattern); M2 uses Small Laplacian spatial filter with EEG band power feature extraction";nine 4Hz bandpass filters 4-40Hz;"not reported; assumedly custom";Descriptive analysis of the machine-learning group classification performance;Fisher Ratio and Linear Discriminant Analysis (LDA) Classifier;1;Giovanna e Suzana;Q value measure considers problem size and presence of carry over operation, refs 1 e 10;
Stereotype-based stressors facilitate emotional memory neural network connectivity and encoding of negative information to degrade math self-perceptions among women;Chad E. Forbes, Rachel Amey, Adam B. Magerman, Kelly Duran, and Mengting Liu;2018;Social Cognitive and Affective Neuroscience;USA;doi: 10.1093/scan/nsy043;Experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects), Misto (Mixed Design);160 white paid participants (87 women) aware of the negative female math stereotype, sample randomized into 2 groups with different interventions: 1) stereotype threat/DMT condition or 2) control/problem-solving (PST) condition;Gender (Women vs. Men) and Context (Stereotype Threat/DMT vs. Control/PST);arithmetic and probably other types of problems;-;EMG;Self-Attributes Questionnaire (SAQ) for math self-enhancement and Math Devaluing scale;"1) math feedback task: standard multiplication and division problems with simple choice answers; 2) standard math task: 15 difficult math word problems taken from the GRE, paper written answers; 3) surprise memory test containing font/feedback pairs they had previously seen during the math feedback task; 4) math self-assessments on a modified shortened version of Self-Attributes Questionnaire (SAQ); 5) Math devaluing 5-item questionnaire; 6) EEG variables; 7) white noise startle responses during the math feedback test; In sum, 8 studied variables: 1) Math feedback and2) standard Math scores, 3) memory accuracy for negative and 4) positive feedback; 5) Average peak startle of negative and 6) positive feedback; 7) Math devaluing; 8) Self-enhancement. Outcomes seem to be statistical (ANOVA) performance on these tests and functional network connectivity (descriptively analyzed).";All, high resolution: anterior frontal, frontal, central, parietal, occipital and temporal (68 anatomical regions of interest (ROIs);ActiveTwo head, cap and the ActiveTwo Biosemi system;128 electrodes;"EEG source reconstruction ; functional connectivity estimation by phase-locking values; weighted graphs construction; measurement of select network modularity;";teta: 4–8 Hz, alpha: 9–14 Hz, beta: 18–22 Hz, gamma: 25–50 Hz;"EEG: ActiView software (BioSemi); source reconstruction: MNE-python; calculated via forward and inverse models utilized by MNE-python; weighted graphs construction: Brain Connectivity Toolbox;";"An initial 2 (Gender: Men or Women) 2 (Condition: DMT or PST) factorial ANOVA was conducted on participants’ accuracy on the math feedback task. Contrasts were also conducted to compare DMT women’s performance on the math feedback task to the other three conditions. For each matrix the threshold was set statistically, so that only the largest 25% of values for edges out of all possible edge values were left for each graph. From this, two sub networks were isolated in the labels of interest from the full sparse graph representing the emotional memory and semantic memory networks. In sum, 8 studied variables: 1) Math feedback and2) standard Math scores, 3) memory accuracy for negative and 4) positive feedback; 5) Average peak startle of negative and 6) positive feedback; 7) Math devaluing; 8) Self-enhancement. Outcomes seem to be statistical (ANOVA) performance on these tests and functional network connectivity (descriptively analyzed).";None (no machine learning used).;1;Giovanna e Suzana;"it should be noted that, although the spatial reconstruction localizes activity within the region of the amigdala and other deep sources, it is not proven that deeper brain activity can be recorded on scalp EEG; it most likely requires depth electrodes to be recorded. For instance, this paper cites a model, theoretical study! (Attal and Schwartz, 2013). Pending issue: to find electrophysiological validation for this type of inference.";
Math anxiety and the shifting function: An event-related potential study of arithmetic task switching;Belén Gonzalez-G omez 1,2 | M. Isabel Núñez-Peña1,2,3 | Àngels Colomé2,4;2023;European Journal of Neuroscience;Spain;10.1111/ejn.15984;Experimental;Transversal (Cross-sectional);Misto (Mixed Design);40 students, 39 right-handed, (22 female and 18 male) selected from a 827 sample assessed for trait anxiety and math anxiety, organized in 2 groups of 20: low and high math anxiety;Highly Math-Anxious (HMA) and Low Math-Anxious (LMA) groups;mental arithmetic (two-digit additions and subtractions) with right/left mouse button pressing with left or right thumb!!;-;EOG;STAI, sMARS, Corsi test;"1) Math anxiety: sMARS; 2) State–Trait Anxiety Inventory (STAI); 3) working memory span (computerized Corsi test). Studied variable: Math test performance in low vs high anxiety, switch assymetry, etc.; outcome: EEG ERPs";All: anterior frontal, frontal, central, parietal, occipital and temporal, plus midline;Scan 4.5 hardware and software (Compumedics Neuroscan, ware and software (Compumedics Neuroscan, (VA);"32 electrodes: 8 midline sagittal plane sites at Fpz, Fz, FCz, Cz, CPz, Pz, POz and Oz; 12 lateral pairs of electrodes over standard sites in the prefrontal (FP1/FP2), frontal (F3/F4, F7/F8), frontocentral (FC3/FC4), frontotemporal (FT7/FT8), central (C3/C4), temporal (T7/T8), centroparietal (CP3/CP4), temporoparietal (TP7/TP8), parietal (P3/P4, P7/P8) and occipital (O1/O2) positions, and with the ground electrode located between FPz and Fz. A further two electrodes were then placed at the mastoids and used later for re-referencing. Finally, the common reference electrode was placed on the tip of the nose.";ERPs (Event-Related Potentials): cue-locked epochs (100 ms to 900 ms) for each experimental condition of every participant, relative to a pre-stimulus baseline of 100 ms;.5 to 70 Hz (ERPs do not analyze separate frequency bands, they analyze power in tiny time windows);"Math problem generation: MATLAB; task design and presentation: E-Prime 2.0 software (Psychology Software Tools Inc., Sharpsburg, PA); stats: SPSSv24; EEG preprocessing: EEGLAB; ERP extraction: ERPLAB;";"an initial t test for trait-anxiety between groups; descriptive stats; only accurate trials were included. These were first examined using ANOVA, taking Cue Type (Repeat vs. Switch) and Operation Addition vs. subtraction) as the within-subject factors, and Group (low math-anxious vs. highly math-anxious) as the between-subjects factor. Third, to compute the switch effect per group and operation, the difference value obtained when subtracting the median response time in repeating trials from the median response time in switching trials was calculated for each participant and for both operations. Switch effects were submitted to t-tests in order to evaluate whether they differ from zero. Fourth, Spearman’s correlation was used to examine the association between the participants’ scores on the sMARS and their mean switch effect. Finally, to examine differences in accuracy between groups and to determine whether there was any switch cost in accuracy, hit rate (i.e., the proportion of trials responded accurately for each condition in each participant) was also analysed. The same statistical analyses run in response time were performed for hit rate: an ANOVA was carried out, taking Cue Type and Operation as the within-subject factors, and Group as the between-subjects factor, and the switch effect (difference value between Cue Type conditions) was submitted to a t-test for each operation and group; Hochberg correction for multiple comparisons.";None (no machine learning used).;2;Giovanna e Suzana;;
Math on cortex—enhanced delta phase synchrony in math experts during long and complex math demonstrations;Hanna Poikonen *, Samuel Tobler1, Dragan Trninic ́ 1, Cléa Formaz1, Venera Gashaj1,3, Manu Kapur1;2024;Cerebral Cortex;Switzerland, FInland and Germany;10.1093/cercor/bhae025;Quase-experimental;Transversal (Cross-sectional);Misto (Mixed Design);Two right-handed groups: 22 math experts, (5 female and 17 male, 19 to 24 years), and 22 math novices (7 female and 15 male, 19 to 35 years). ANOVA age effect that would have to be controlled along the study;Math Experts;watching complex Math demonstrations with symbolic and geometric approaches, the response was self-evaluation with 4-choice button pressing;Resting baseline;ECG (bipolar electrocardiography), EOG;Abbreviated Math Anxiety Scale (AMAS), Berlin Intelligence Structure Test (BIS-T);"1) Math demonstrations in 4 experimental conditions as described in column K; 2) Abbreviated Math Anxiety Scale (AMAS); 3) shorter version of the Berlin Intelligence Structure Test (BIS-T); 4)";both hemispheres and the central line along the fronto-parietal pathway;Ant Neuro eego mylab with 128 channel amplifier (IS 10-10);"12 electrodes of F3 (5), Fz (6), F4 (7), FCz (42), Cz (16), CP3 (48), CP4 (49), P1 (51), Pz (26), P2 (52), PPO1 (92) and PPO2; pairwise to all the other ones, resulting in 66 electrode pairs of comparison.";"phase synchrony values (PSVs) based on the Hilbert transformation (EEG functional connectiviity examined by phase synchrony), studying separately 1) the beginning of stimuli to avoid habituation and study a similar duration as in previous EEG studies (2s or less), and 2) the whole stimuli to study the brain processes during complex math with long duration (54s);";delta 0.5–4 Hz, theta and alpha.;"Stimulus presentations: MATLAB via PsychToolbox; triggers sent wirelessly via Lab Streaming Layer; EEG preprocessing by EEGLAB; stats: MATLAB";The repeated-measures ANOVA with between-subject factor Group (Math Experts and Novices) and within-subject factors Posture (Sitting Eyes Open and Standing Eyes Open for the resting state and Sitting and Standing for math demonstrations, and Stimulus: Symbolic and geometric math demonstration), was conducted separately for each electrode pair (66 electrode pairs) of PSV_FirstTwoSeconds and PSV_WholeStimulus, each frequency band (delta, theta and alpha) and both during math demonstrations and rest. The main effects for the factor Group, Posture and Stimulus, and the Group∗Posture, Group∗Stimulus interactions were calculated with the Greenhouse–Geisser (GG) adjustment. Bonferroni correction for multiple comparisons.;None (no machine learning used).;2;Giovanna e Suzana;;
EEG source-space synchrostate transitions and Markov modeling in the math-gifted brain during a long-chain reasoning task;Li Zhang1 | John Q. Gan2 | Yanmei Zhu3 | Jing Wang4 | Haixian Wang3;2020;Hum Brain Mapp.;China and UK;10.1002/hbm.25035;Quase-experimental;Transversal (Cross-sectional);Misto (Mixed Design);Math-gifted group: 12 subjects including nine males and three females aged 16.5 ± 0.7 (mean ± SD), selected from the Science and Engineering Experimental Class at Southeast University, Nanjing, China.;Mathematical Giftedness / Level of Mathematical Ability;a standard type of deductive reasoning;Non-task idle process;EOG;RAPM (Raven's Advanced Progressive Matrices);"1) a standard type of deductive reasoning, a categorical syllogism task of verbal-logical type was performed by all the subjects;";frontal, parietal, temporal, and occipital regions;Neuroscan;60 electrodes covering frontal, parietal, temporal, and occipital regions.;Phase-locking value (PLV) estimation. Sources mapped to a distributed model composed of 151 dipoles uniformly covering the surface of dorsal and ventral cortices, which were used as the fundamental nodes for functional brain network analysis. 180 discrete epochs, in which phase-synchronized networks of cortical sources sustained for every 50 ms time windows (i.e., synchrostates) were constructed along the reasoning task course and the task-free baseline process. state-dependent functional connectivity: single-trial source data were used in the analysis of phase-locking statistics. For each PLV association matrix of size 151 × 151, an adjacent matrix can be acquired by applying a fixed connection density (FCV).;low γ frequency band (30–45 Hz);"EEG pre-processing: Scan 4.3 software, EEGLAB; source transformation procedure: Brainstorm toolbox; forward model: obtained according to a symmetric Boundary Element Model in OpenMEEG software; inverse solution: minimum-norm estimation (MNE) and sLORETA;";As the most fundamental measure of functional connectivity within a brain connectome, node degree centrality quantifies the structural importance of a node with respect to the rest of the network, especially stronger effects within its own cluster. Cosine similarity tests for reallocating synchrostates into optimal clusters. Analysis of variance (AVOVA) between task conditions and between subject groups. bootstrapped ANOVAs for transition probabilities testing. (FDR) correction.;Markov chain modeling for synchrostate transitions;2;Giovanna e Suzana;;
Interpretability of Hybrid Feature Using Graph Neural Networks from Mental Arithmetic Based EEG;Jung, M. K., Kim, H., Lee, S., Kim, J. B., & Kim, D. J.;2023;IEEE Xplore Conference Proceedings;Korea;10.1109/BCI57258.2023.10078648;Experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);29 healthy subjects (14 males, 15 females) with an average age of 28.5 +- 3.7 years from an open source database;;repeatedly perform simple arithmetic calculations.;resting baseline;EOG;-;"1) rest state; 2) mental calculations;";all regions with an electrode placement I am not familiar with;not reported;"30 electrodes placed according to the international 10-5 system (nunca ouvi falar). Mencionam: frontal channels (AFp1, AFp2, AFF1h, AFF2h, AFF5h, AFF6h, F3, F4, F7, and F8); parieto-occipital lesion (P4, P8, PPO2h, POO2, Pz, POO1, PPO1h, P3, and P7); frontal regions (AFF1h, AFp1, AFF5h, and F3),";Power spectral density (PSD) . for extracting node features, the node strength and power spectral density were used.;delta (1-4 Hz), theta (4-8 Hz), alpha (8-12 Hz), beta (12-30 Hz), and gamma (30-40Hz) frequency bands utilized to derive node features;"Matlab R2020a; BBCI toolbox; GNNExplainer";"connectivity derived by the envelope correlation method ; To compute envelope correlation, analytic signals were obtained by applying the Hilbert transform, and the mean of Pearson correlation between orthogonalizing values of two signals was calculated. To compare the effect of PSD features on model performance, a dataset with connectivity (CON) only and a dataset with connectivity and PSD features (CON-PSD) were generated. GNNExplainer is to generate a subgraph that explains the decision.";GNN model. inter-node relations were evaluated via adjacency matrices that represent connectivity, distance, and degree information. In addition, the node strength was used as node feature. GNN model trained by optimizing the negative log-likelihood loss function using Adam and backpropagation. To identify and classify the MA task-related brain activity patterns, this study utilized hierarchical graph pooling with a structure learning model (HGP-SL).;"3 J. Shin et al., ""Open access dataset for EEG+ NIRS single-trial classification,"" IEEE Transactions on Neural Systems and Rehabilitation Engineering,";Giovanna e Suzana;;
(Lack of) neural efficiency related to general giftedness and mathematical excellence: An EEG study;Waisman, Ilana and Brunner, Clemens and Grabner, Roland H. and Leikin, Mark and Leikin, Roza;2023;Neuropsychologia;Israel;10.1016/j.neuropsychologia.2022.108448;Quase-experimental;Transversal (Cross-sectional);Entre-sujeitos (Between-subjects);118 high school students (45 females, 73 males) with a mean age of 16.6 years (standard deviation 0.6).;General Giftedness (G) and Excellence in Mathematics (EM);learning-based mathematical task that requires the competence to translate between graphical and symbolic representations of functions.;500 ms fixation period;EOG;RPMT;accuracy, reaction time for correct reponses;extended 10–20 system. full;BioSemi ActiveTwo system (BioSemi, Amsterdam, The Netherlands). 64-channel;64 electrodes;Bandpass-filtered between 0.53 and 30 Hz. Referenced to the common average of all electrodes. Epochs with signals exceeding ±80 µV were discarded. Ocular artifacts were corrected using a regression-based approach. Downsampled to 256 Hz. Features extracted: Event-related (de-)synchronization (ERD/ERS), calculated as the percentage change in power from a baseline period.;Theta (4–7 Hz). Upper Alpha (10–12 Hz);- Brain Vision Analyzer, E-Prime software;ANOVA, Greenhouse-Geisser, Bonferroni adjustment was used for post-hoc tests.;-;1;Felipe;;
Alpha and theta oscillations in mental addition for high and low performers;Alnajashi, Sumyah;2021;Cognitive Processing;Saudi Arabia;10.1007/s10339-021-01038-1;Quase-experimental;Transversal (Cross-sectional);Misto (Mixed Design);36 female undergraduate students. High Performers: 18 participants, mean age 21 years and 3 months. Low Performers: 18 participants, mean age 20 years and 8 months.;female, arithmetic fluency scores;mental addition task involving problems with either single-digit or two-digit integers.;baseline period (500ms pre-stimulus). The study also compares the task under various conditions: easy vs. difficult problems, horizontal vs. vertical presentation, and with vs. without a visuospatial load.;-;Digit Span (serial and reversed recall) score (WAIS/WISC). Coding task score (WAIS/WISC), RPMT;accuracy, self-reported strategies (procedural or recall).;anterior frontal, frontal, central, parietal;EPOC+ Emotiv BCI 16-channel system;14 recording electrodes plus 2 references. Disposable felt pads soaked with saline.;Band-pass filtered from 0.5 to 45 Hz. 50 Hz and 60 Hz notch filters were applied. Epochs from 500 ms pre-stimulus to 2500 ms post-stimulus were extracted. Features extracted: Spectral power was computed using a modified periodogram. Discrete wavelet transform. The mean power for each frequency band was calculated.;Alpha (8–12 Hz) Theta (4–7.5 Hz);Matlab language Matlab, E-Prime;Mixed-measures ANOVA, Independent-samples t-tests, Paired-sample t-tests were used for post-hoc analysis with Bonferroni correction.;-;1;Felipe;;
Arithmetic word problems describing discrete quantities: E.E.G evidence for the construction of a situation model☆;Bagnoud J and Burra N and Castel C and Oakhill J and Thevenot C;2018;Acta psychologica;Netherlands;10.1016/j.actpsy.2018.07.008;Experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);18 undergraduate students from the University of Geneva. Their mean age was 19.78 years (SD = 2.49 years).;undergraduate students and native French speakers.;Compare problems, a type of arithmetic word problem. The problems require simple addition or subtraction.;resting state. it is compared between problems with discrete quantities (e.g., apples) and problems with continuous quantities (e.g., kilos of sand).;EOG;-;accuracy, solution times, reading times of the problem text.;O1, Oz, O2, PO3, POz, PO4, P7, P3, Pz, P4, and P8 parietal, occipital;ActiveTwo system from Biosemi with 32 electrodes.;32 electrodes;A low cutoff filter of 4 Hz and a high cutoff of 25 Hz were used, along with a 50 Hz notch filter. Electrodes with too much noise were interpolated. A mean reference was used. Epochs with artifacts (jumps of >100 µV) were rejected. Features extracted: Alpha power was quantified using a Fourier transform on each segmented epoch.;alpha band (8 to 13 Hz).;"E-Prime; BrainVision Analyzer 2";ANOVA with repeated measures, post-hoc non-parametric test;-;1;Felipe;;
Brain dynamics of mathematical problem solving;C. -L. Lin and M. Jung and Y. C. Wu and C. -T. Lin and H. -C. She;2012;2012 Annual International Conference of the IEEE Engineering in Medicine and Biology Society;USA;10.1109/EMBC.2012.6347033;Quase-experimental;Transversal (Cross-sectional);Misto (Mixed Design);11 volunteers (9 males, 2 females) with an age range of 15–49 years.;fast and slow problem-solving;mental math problem-solving (participants must combine four single-digit numbers using basic arithmetic operations to get a final solution of twenty-four.);2-second pre-stimulus baseline period (the study also compares the task under three different levels of difficulty.);-;-;solution latency (SL) (defined as the time between the stimulus onset and the button press).;F3, F4, C3, C4, P3, P4, O3, O4, Fz, Cz, Pz, and Oz. (10-20 system) frontal, central, parietal, occipital;128-channel BioSemi ActiveTwo EEG system.;12 electrodes;Independent Component Analysis (ICA). A linear time-warping procedure was applied to align trials to the median latency for temporal dynamics analysis. Features extracted: Power Spectral Density (PSD), Short-Time Fourier Transform (STFT). Event-Related Spectral Perturbation (ERSP). Laterality Index.;Theta (4-7 Hz) Alpha (8-13 Hz) Beta (14-30 Hz);Matlab language, EEGLAB toolbox;Wilcoxon rank sum test;-;1;Felipe;;
Brain Functional Connectivity and Power Spectrum Analyses during Mental Arithmetic;Hashim, Syazreen and Safri, Norlaili Mat and Othman, Mohd Afzan and Zakaria, Nor Aini;2015;Jurnal Teknologi;Malaysia;10.11113/jt.v74.4666;Quase-experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);13 healthy participants (postgraduate and undergraduate students) between the ages of 21 and 25 years old.;-;mental arithmetic, specifically continuous subtraction of the number 7 from 1000.;resting state;;-;outcome of the final calculation (accuracy), which was classified as either a correct or incorrect answer.;10-20 frontal, temporal , parietal, occipital;EEG-9100J/K Neurofax (Nihon Kohden).;gel, 19 channels for EEG, plus two reference electrodes.;The raw data was converted to a .csv file. Features extracted: Partial Directed Coherence (PDC) was used to determine the directional functional connectivity. Power spectrum was determined using Fast Fourier Transform (FFT). Normalization (%) of the frequency bands was performed.;Delta (1–3 Hz) Theta (4–7 Hz) Alpha (8–12 Hz) Beta (13–30 Hz) Gamma (31–50 Hz) High-gamma (51–120 Hz);-;t-test;-;1;Felipe;;
Cognizance detection during mental arithmetic task using statistical approach;Karnan H and Uma Maheswari D and Priyadharshini D and Laushya S and Thivyaprakas TK;2025;Computer methods in biomechanics and biomedical engineering;England;10.1080/10255842.2023.2298362;Estudo Metodológico, Quase-experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects), Grupo Único;36 healthy volunteers.;-;mental arithmetic, specifically a serial subtraction task where participants subtracted two-digit numbers from four-digit numbers.;resting state;-;-;"umber of subtractions and ""quality count"" (accuracy)";Fp1, Fp2, F3, F4, F7, and F8 frontal;Neurocom EEG 23-channel equipment.;23 channels;Independent-Component-Analysis (ICA) was performed for artifact removal. Features extracted: Statistical features including mean, variance, and standard deviation (SD) of the segmented EEG signals. Correlation coefficient and Fisher's score were used for feature selection.;delta, theta, alpha, beta, and gamma based on frequency ranges.;R, Matlab language;Correlation coefficient, Fisher's score;Support Vector Machine (SVM) classifier with a radial basis function (RBF) kernel.;3;Felipe;;
Comparative Analysis of Cognitive Tasks for Modeling Mental Workload with Electroencephalogram;Hwang, Taeho and Kim, Miyoung and Hwangbo, Minsu and Oh, Eunmi;2014;2014 36th Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBC 2014;South Korea;10.1109/EMBC.2014.6944170;Quase-experimental;Longitudinal;Intra-sujeitos (Within-subjects);7 healthy subjects (2 females, 5 males) aged between 25 and 39 years old. For the longitudinal analysis, a subset of 3 participants was used.;-;mental arithmetic task, specifically multiplication problems involving two positive integers.;n-back task (which is a working memory task using alphabet letters).;-;;Response times. Rate of correct answers (accuracy). Number of errors and reaction time were also analyzed for the n-back task.;frontal, parietal, temporal;Emotiv EPOC wireless EEG sensor.;14 electrodes;common reference average was applied for spatial filtering. Features extracted: Power of 8 equally sized frequency bands from 4 to 32 Hz was extracted using the short-time Fourier transform (STFT). This resulted in a total of 784 features (14 channels x 8 bands x 7 time points).;Theta (4–8 Hz). Alpha (8–12 Hz). Gamma (near 32 Hz).;Matlab language;Paired t-tests , F-test, Regression Lines, Correlational analysis, 10-fold cross-validation;Support Vector Machine (SVM) with a linear kernel.;1;Felipe;;
